id,name,image,description,type,damage negation,resistance,weight,special effect,how to acquire,in-game section,dlc
404,Leyndell Knight Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/leyndell_knight_armor_(altered)_elden_ring_wiki_guide_200px.png,"Armor worn by knights sworn to defend the royal capital of Leyndell. Its left breast is emblazoned with a symbol of Erdtree Worship, said to have once been imbued with an incantation of protection.",chest armor,"[{'Phy': '13.1', 'VS Str': '12', 'VS Sla': '13.1', 'VS Pie': '13.1', 'Mag': '9.8', 'Fir': '11', 'Lit': '11', 'Hol': '9.8'}]","[{'Imm.': '32', 'Rob.': '50', 'Foc.': '21', 'Vit.': '21', 'Poi.': '24'}]",10.8,,Drops from Leyndell Knights.,8,Base Game
405,Lionel's Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/lionels_armor_(altered)_elden_ring_wiki_guide_200px.png,"Round iron armor. Worn by Lionel the Lionhearted. When this chivalrous, dauntless knight met Fia, who had been driven from her home, he declared himself to be her father.",chest armor,"[{'Phy': '17.1', 'VS Str': '15.9', 'VS Sla': '18.8', 'VS Pie': '19.3', 'Mag': '13.1', 'Fir': '14.5', 'Lit': '12.6', 'Hol': '13.1'}]","[{'Imm.': '57', 'Rob.': '90', 'Foc.': '38', 'Vit.': '45', 'Poi.': '38'}]",20.2,,"After completing Boc's Questline, you (or Boc) can alter Lionel's Armor into Lionel's Armor (Altered).",11,Base Game
406,Lord of Blood's Robe (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/lord_of_bloods_robe_(altered)_elden_ring_wiki_guide_200px.png,"Attire of Mohg, Lord of Blood, embroidered with an extravagant gold emblem on black cloth. The dress of a Luminary, the reigning lord and hierarch of the coming dynasty of Mohgwyn. Or perhaps, of a raving lunatic.",chest armor,"[{'Phy': '8.9', 'VS Str': '9.6', 'VS Sla': '8.1', 'VS Pie': '8.1', 'Mag': '9.6', 'Fir': '12', 'Lit': '12', 'Hol': '13.4'}]","[{'Imm.': '57', 'Rob.': '19', 'Foc.': '47', 'Vit.': '47', 'Poi.': '16'}]",7.3,,"After completing Boc's Questline, you (or Boc) can alter Lord of Blood's Robe into Lord of Blood's Robe (Altered).",3,Base Game
407,Lusat's Robe,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lusats_robe_elden_ring_wiki_guide_200px.png,"A robe reserved for grand masters at the Academy of Raya Lucaria. Corroded by blue glintstones.Since the grand masters Azur and Lusat were driven from the academy, no one has achieved their formerly-held rank.",chest armor,"[{'Phy': '8', 'VS Str': '6.1', 'VS Sla': '8', 'VS Pie': '6.1', 'Mag': '15.4', 'Fir': '12.8', 'Lit': '13.3', 'Hol': '13.5'}]","[{'Imm.': '50', 'Rob.': '25', 'Foc.': '83', 'Vit.': '99', 'Poi.': '12'}]",7.1,,"All three armor pieces can be found after completing Sorceress Sellen's questline and siding with Sellen, return to Lusat's location in the Sellia Hideaway. The entire set will be on the ground where he used to occupy. Elden Ring Map here",2,Base Game
408,Malenia's Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/malenias_armor_elden_ring_wiki_guide_200px.png,"Armor made of unalloyed gold. Worn by Malenia, Blade of Miquella.Malenia awaited Miquella at the foot of the husk.""My brother will keep his promise. He possesses the wisdom, the allure, of a god - he is the most fearsome Empyrean of all.""",chest armor,"[{'Phy': '10.9', 'VS Str': '7.1', 'VS Sla': '11.4', 'VS Pie': '9.5', 'Mag': '6.1', 'Fir': '7.1', 'Lit': '4.2', 'Hol': '7.1'}]","[{'Imm.': '38', 'Rob.': '32', 'Foc.': '11', 'Vit.': '11', 'Poi.': '16'}]",7.7,,"Purchased from Enia for 12,000 runes after defeating Malenia Blade of Miquella.",7,Base Game
409,Malenia's Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/malenias_armor_(altered)_elden_ring_wiki_guide_200px.png,"Armor made of unalloyed gold. Worn by Malenia, Blade of Miquella. Malenia awaited Miquella at the foot of the husk. ""My brother will keep his promise. He possesses the wisdom, the allure, of a godhe is the most fearsome Empyrean of all.""",chest armor,"[{'Phy': '10', 'VS Str': '6.5', 'VS Sla': '10.7', 'VS Pie': '8.6', 'Mag': '5.1', 'Fir': '6.5', 'Lit': '2.5', 'Hol': '6.5'}]","[{'Imm.': '29', 'Rob.': '25', 'Foc.': '0', 'Vit.': '0', 'Poi.': '13'}]",6.8,,"After completing Boc's Questline, you (or Boc) can alter Malenia's Armor into Malenia's Armor (Altered).",7,Base Game
410,Maliketh's Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/malikeths_armor_(altered)_elden_ring_wiki_guide_200px.png,"Beast's armor made of black iron and decorated with gold. Worn by Maliketh the Black Blade. Maliketh, Queen Marika's loyal half-brother, bore a blade imbued with Destined Death, and there was not one demigod who did not fear him. Champions knew what was at stake. Indeed, that is what made them champions.",chest armor,"[{'Phy': '12.9', 'VS Str': '11.4', 'VS Sla': '13.5', 'VS Pie': '12.4', 'Mag': '10.2', 'Fir': '10.9', 'Lit': '8.8', 'Hol': '12.6'}]","[{'Imm.': '29', 'Rob.': '50', 'Foc.': '21', 'Vit.': '42', 'Poi.': '22'}]",11.8,,"After completing Boc's Questline, you (or Boc) can alter Maliketh's Armor into Maliketh's Armor (Altered).",9,Base Game
411,Mausoleum Knight Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/mausoleum_knight_armor_elden_ring_wiki_guide_200px.png,"Armor worn by headless knights who endlessly guard the Wandering Mausoleum.The wing-shaped ornaments on its back evoke the Deathbird. A self-inflicted curse that ties the spirits of these loyal knights to the land, having willingly beheaded themselves so that they may serve their masters in death.",chest armor,"[{'Phy': '13.5', 'VS Str': '11.4', 'VS Sla': '14.6', 'VS Pie': '12.9', 'Mag': '10.9', 'Fir': '11.4', 'Lit': '10.2', 'Hol': '11.4'}]","[{'Imm.': '35', 'Rob.': '55', 'Foc.': '24', 'Vit.': '23', 'Poi.': '25'}]",11.8,,"Mausoleum Knight Set Pieces are randomly dropped by the Mausoleum Knights. Typically found in Liurnia of the Lakes. The easiest one to farm is directly outside the Black Knife Catacombs entrance, which can be reset quickly with the site of grace. Also found near the Walking Mausoleum in Weeping Peninsula.",8,Base Game
412,Mausoleum Knight Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/mausoleum_knight_armor_(altered)_elden_ring_wiki_guide_200px.png,"Armor worn by headless knights who endlessly guard the Wandering Mausoleum. The wing-shaped ornaments on its back evoke the Deathbird. A self-inflicted curse that ties the spirits of these loyal knights to the land, having willingly beheaded themselves so that they may serve their masters in death.",chest armor,"[{'Phy': '13.1', 'VS Str': '11', 'VS Sla': '14.2', 'VS Pie': '12.5', 'Mag': '10.5', 'Fir': '11', 'Lit': '9.8', 'Hol': '11'}]","[{'Imm.': '32', 'Rob.': '50', 'Foc.': '21', 'Vit.': '21', 'Poi.': '25'}]",10.8,,"Mausoleum Knight Set Pieces are randomly dropped by the Mausoleum Knights. Typically found in Liurnia of the Lakes. The easiest one to farm is directly outside the Black Knife Catacombs entrance, which can be reset quickly with the site of grace. Also found near the Walking Mausoleum in Weeping Peninsula.",8,Base Game
413,Mausoleum Surcoat,http://eldenring.wiki.fextralife.com/file/Elden-Ring/mausoleum_surcoat_elden_ring_wiki_guide_200px.png,"Armor worn by headless soldiers who endlessly guard the Wandering Mausoleum.The surcoat depicts the mausoleum bell, which rings in constant mourning for the soulless demigods.",chest armor,"[{'Phy': '12.9', 'VS Str': '10.9', 'VS Sla': '13.5', 'VS Pie': '12.4', 'Mag': '10.2', 'Fir': '10.2', 'Lit': '8.8', 'Hol': '10.2'}]","[{'Imm.': '32', 'Rob.': '50', 'Foc.': '23', 'Vit.': '21', 'Poi.': '24'}]",10.6,,Mausoleum Soldier Set pieces drop from Mausoleum Soldiers. They can be found patrolling areas around some of the Wandering Mausoleums.An easy spot to farm this set is east of the East Gate Bridge Trestle site of grace in Liurnia of the Lakes. Several groups of 3 or 4 Mausoleum Soldiers are patrolling around this Wandering Mausoleum.,6,Base Game
414,Night Maiden Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/night_maiden_armor_elden_ring_wiki_guide_200px.png,"Armor worn by the nightmaidens of the Eternal City.Indicates the highest clerical rank, and includes a silk cape.Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",chest armor,"[{'Phy': '8', 'VS Str': '9.5', 'VS Sla': '8', 'VS Pie': '10.2', 'Mag': '12.4', 'Fir': '11.4', 'Lit': '11.9', 'Hol': '12.4'}]","[{'Imm.': '63', 'Rob.': '38', 'Foc.': '55', 'Vit.': '55', 'Poi.': '16'}]",8.3,,Pieces of the Night Maiden Set are dropped by Night Maiden enemies found in Nokron and Nokstella.Two can be found in the Night's Sacred Ground area in the church with the large Silver Tear Ball. Once this building's shortcut is opened these two can be easily farmed by resetting at the Night's Sacred Ground site of grace.,5,Base Game
415,Night's Cavalry Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nights_cavalry_armor_elden_ring_wiki_guide_200px.png,"Pitch-black armor thinly painted with dried blood.Worn by the Night's Cavalry who ride funeral steeds.The Night's Cavalry, who now wander the dim roads at night, were once led by the Fell Omen and were deliverers of death for great warriors, knights, and champions.",chest armor,"[{'Phy': '14', 'VS Str': '12.9', 'VS Sla': '14', 'VS Pie': '13.5', 'Mag': '10.9', 'Fir': '12.6', 'Lit': '10.9', 'Hol': '12.6'}]","[{'Imm.': '38', 'Rob.': '57', 'Foc.': '24', 'Vit.': '24', 'Poi.': '25'}]",12.8,,"You can find the Night's Cavalry Set within the Consecrated Snowfield: From the Inner Consecrated Snowfield site of grace at night, look southwest and there will be a caravan being pulled by two giants and two Night's Cavalry escorts. Kill both the escorts to receive the armor alongside an Ancient Dragon Smithing Stone. Elden Ring Map here.",10,Base Game
416,Night's Cavalry Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/nights_cavalry_armor_(altered)_elden_ring_wiki_guide_200px.png,"Pitch-black armor thinly painted with dried blood. Worn by the Night's Cavalry who ride funeral steeds. The Night's Cavalry, who now wander the dim roads of night, were once led by the Fell Omen and were deliverers of death for great warriors, knights, and champions.",chest armor,"[{'Phy': '13.5', 'VS Str': '12.4', 'VS Sla': '13.5', 'VS Pie': '12.4', 'Mag': '10.2', 'Fir': '12.4', 'Lit': '10.2', 'Hol': '12.4'}]","[{'Imm.': '32', 'Rob.': '50', 'Foc.': '21', 'Vit.': '21', 'Poi.': '24'}]",11.8,,"Boc the Seamster can alter the original Night's Cavalry Armor, if you have it in your possession.",10,Base Game
417,Nomadic Merchant's Finery,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nomadic_merchants_finery_elden_ring_wiki_guide_200px.png,"Finery of the nomadic merchants. Decorated with tiny gems in a wide spectrum of colors.These merchants once thrived as the Great Caravan, but after being accused of heretical beliefs, their entire clan was rounded up and buried alive far underground.Then, they chanted a curse of despair, and summoned the flame of frenzy.",chest armor,"[{'Phy': '8', 'VS Str': '8.8', 'VS Sla': '7.1', 'VS Pie': '6.7', 'Mag': '9.5', 'Fir': '9.5', 'Lit': '9.5', 'Hol': '8.8'}]","[{'Imm.': '57', 'Rob.': '32', 'Foc.': '71', 'Vit.': '46', 'Poi.': '13'}]",7.2,,"In the hidden tunnels behind the altar in Mohg, the Omen's boss room at the Cathedral of the Forsaken Site of Grace in the Subterranean Shunning-Grounds below Leyndell, Royal Capital. After opening the secret passage behind the altar and taking the stairs down, crossing the narrow fallen rafter directly to the left is a tent and in the far corner you can find Nomadic Merchant's Finery and the full Nomadic Merchant's Set. Elden Ring Map hereTo get access to the set, you need to aggro the enemy walking around close by and lead it next to the tent and have it use its frenzy attack to break the tent.",4,Base Game
418,Nomadic Merchant's Finery (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/nomadic_merchants_finery_(altered)_elden_ring_wiki_guide_200px.png,"Finery of the nomadic merchants. Decorated with tiny gems in a wide spectrum of colors. These merchants once thrived as the Great Caravan, but after being accused of heretical beliefs, their entire clan was rounded up and buried alive far underground. Then, they chanted a curse of despair, and summoned the flame of frenzy.",chest armor,"[{'Phy': '7', 'VS Str': '7.9', 'VS Sla': '6.6', 'VS Pie': '6', 'Mag': '8.7', 'Fir': '8.7', 'Lit': '8.7', 'Hol': '7.9'}]","[{'Imm.': '50', 'Rob.': '25', 'Foc.': '61', 'Vit.': '38', 'Poi.': '12'}]",6.1,,"Boc the Seamster can alter the original Nomadic Merchant's Finery, if you have it in your possession.",4,Base Game
419,Nox Monk Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nox_monk_armor_elden_ring_wiki_guide_200px.png,"Armor worn by the monks of the Eternal City, with a silk cape attached. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",chest armor,"[{'Phy': '9.3', 'VS Str': '10', 'VS Sla': '9.3', 'VS Pie': '8.6', 'Mag': '12.2', 'Fir': '11.7', 'Lit': '11.7', 'Hol': '10'}]","[{'Imm.': '63', 'Rob.': '42', 'Foc.': '50', 'Vit.': '50', 'Poi.': '16'}]",8.1,,"Can be looted from the Nox Swordstress and Nox Priest common ennemies in Nokstella, Eternal City. However, note that the Nox Swordstress & Nox Priest boss found in Sellia, Town of Sorcery will not drop the set. Elden Ring Interactive Map link",5,Base Game
420,Nox Monk Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/nox_monk_armor_(altered)_elden_ring_wiki_guide_200px.png,"Armor worn by the monks of the Eternal City. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",chest armor,"[{'Phy': '8.6', 'VS Str': '9.3', 'VS Sla': '8.6', 'VS Pie': '7.8', 'Mag': '11.7', 'Fir': '11.2', 'Lit': '11.2', 'Hol': '9.3'}]","[{'Imm.': '54', 'Rob.': '34', 'Foc.': '42', 'Vit.': '42', 'Poi.': '15'}]",7.4,,"After completing Boc's Questline, you (or Boc) can alter Nox Monk Armor into Nox Monk Armor (Altered).",5,Base Game
421,Nox Swordstress Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nox_swordstress_armor_elden_ring_wiki_guide_200px.png,"Armor worn by swordstresses of the Eternal City.These women are the personal guards of the nightmaidens, and wear silk capes.Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",chest armor,"[{'Phy': '8.8', 'VS Str': '10.2', 'VS Sla': '8.8', 'VS Pie': '9.5', 'Mag': '12.6', 'Fir': '10.9', 'Lit': '12.4', 'Hol': '11.4'}]","[{'Imm.': '60', 'Rob.': '38', 'Foc.': '55', 'Vit.': '55', 'Poi.': '17'}]",8.3,,"Pieces of the Nox Swordstress Set are dropped by Nox Swordstress enemies found in Nokron and Nokstella.Three can be found in relatively close proximity to the Nokstella, Eternal City site of grace. One up the stairs in a side room, and 2 in the river riding giant ants.",5,Base Game
422,Nox Swordstress Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/nox_swordstress_armor_(altered)_elden_ring_wiki_guide_200px.png,"Armor worn by swordstresses of the Eternal City. These women are the personal guards of the nightmaidens. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",chest armor,"[{'Phy': '8', 'VS Str': '9.5', 'VS Sla': '8', 'VS Pie': '8.8', 'Mag': '12.4', 'Fir': '10.2', 'Lit': '11.9', 'Hol': '10.9'}]","[{'Imm.': '56', 'Rob.': '34', 'Foc.': '49', 'Vit.': '49', 'Poi.': '16'}]",7.5,,"After completing Boc's Questline, you (or Boc) can alter Nox Swordstress Armor into Nox Swordstress Armor (Altered",5,Base Game
423,Official's Attire,http://eldenring.wiki.fextralife.com/file/Elden-Ring/officials_attire_elden_ring_wiki_guide_200px.png,"Grubby blue robe worn by magisterial officials to carry out their grim tasks.Surveillance, executions, gruesome rituals... The darkest duties drive the wheels of mankind.",chest armor,"[{'Phy': '4.2', 'VS Str': '4.2', 'VS Sla': '4.2', 'VS Pie': '5.3', 'Mag': '12.8', 'Fir': '11.9', 'Lit': '12.4', 'Hol': '12.8'}]","[{'Imm.': '38', 'Rob.': '22', 'Foc.': '61', 'Vit.': '64', 'Poi.': '8'}]",4.1,,"From the Forbidden Lands site of grace, turn back and head towards the elevator. Face southwest before activating the elevator, and then watch for an opening to jump off into. The Official's Attire is on the corpse in this hidden hallway, alongside Blade of Calling. Elden Ring Map here.",3,Base Game
424,Omen Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/omen_armor_elden_ring_wiki_guide_200px.png,"Malformed armor resembling an Omen with its horns cut off.Worn by the Dung Eater. The heavy, sun-shaped medallion represents both the guidance he once saw, and the ring to which it will one day lead.",chest armor,"[{'Phy': '18.3', 'VS Str': '15', 'VS Sla': '18.7', 'VS Pie': '18.7', 'Mag': '13', 'Fir': '14.5', 'Lit': '14.9', 'Hol': '13.8'}]","[{'Imm.': '67', 'Rob.': '63', 'Foc.': '57', 'Vit.': '76', 'Poi.': '43'}]",23.1,Increases damage of Omen Bairn and Regal Omen Bairn,The Omen Set can be found after killing the Dung Eater in the Subterranean Shunning-Grounds at Leyndell Royal Capital. Elden Ring Map here,11,Base Game
425,Page Garb,http://eldenring.wiki.fextralife.com/file/Elden-Ring/page_garb_elden_ring_wiki_guide_200px.png,"Garb worn by pages who serve the nobility and are mindful to keep them out of harm's way.Traveling wear tailored with exquisite precision, to avoid any undue shame for the page's master.",chest armor,"[{'Phy': '6.7', 'VS Str': '6.1', 'VS Sla': '5.3', 'VS Pie': '5.3', 'Mag': '12.8', 'Fir': '12.6', 'Lit': '13', 'Hol': '13'}]","[{'Imm.': '42', 'Rob.': '23', 'Foc.': '83', 'Vit.': '83', 'Poi.': '10'}]",5.1,,"The Page Garb Chest Armor can be occasionally found as loot drops from Page enemies Three are easily found behind the Royal Moongazing Grounds site of grace in Carian Manor. They are also scattered throughout Leyndell, Royal Capital and at Tombsward Ruins at the Underground.",1,Base Game
426,Page Garb (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/page_garb_(altered)_elden_ring_wiki_guide_200px.png,"Garb worn by pages who serve the nobility and are mindful to keep them out of harm's way. Traveling wear tailored with exquisite precision, to avoid any undue shame for the page's master.",chest armor,"[{'Phy': '6.3', 'VS Str': '5.5', 'VS Sla': '4.4', 'VS Pie': '4.4', 'Mag': '12.8', 'Fir': '12.6', 'Lit': '13', 'Hol': '13'}]","[{'Imm.': '34', 'Rob.': '19', 'Foc.': '64', 'Vit.': '64', 'Poi.': '8'}]",4.5,,"Tombsward Ruins Underground. See it on the Elden Ring Map Here.Boc the Seamster can alter the original Page Garb, if you have it in your possession.",1,Base Game
427,Perfumer Robe,http://eldenring.wiki.fextralife.com/file/Elden-Ring/perfumer_robe.png,"Robe of an Erdtree Capital perfumer.The thick front apron embroidered with a depiction of the Erdtree is proof of mastery of the apothecarial arts, and its weight symbolizes the onus of both pride and responsibility.",chest armor,"[{'Phy': '5.3', 'VS Str': '6.7', 'VS Sla': '6.1', 'VS Pie': '5.3', 'Mag': '13', 'Fir': '12.4', 'Lit': '12.6', 'Hol': '13'}]","[{'Imm.': '63', 'Rob.': '21', 'Foc.': '71', 'Vit.': '76', 'Poi.': '10'}]",5.1,,"Looted from the Perfumers found throughout Leyndell, Royal Capital.",3,Base Game
428,Perfumer Robe (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/perfumer_robe_(altered)_elden_ring_wiki_guide_200px.png,"Robe of an Erdtree Capital perfumer. The thick front apron embroidered with a depiction of the Erdtree is proof of mastery of the apothecarial arts, and its weight symbolizes the onus of both pride and responsibility.",chest armor,"[{'Phy': '4.2', 'VS Str': '6.1', 'VS Sla': '5.3', 'VS Pie': '4.2', 'Mag': '12.8', 'Fir': '11.9', 'Lit': '12.4', 'Hol': '12.8'}]","[{'Imm.': '54', 'Rob.': '18', 'Foc.': '57', 'Vit.': '67', 'Poi.': '8'}]",4.1,,Boc the Seamster can alter the original Perfumer Robe if you have it in your possession.,3,Base Game
429,Perfumer's Traveling Garb (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/perfumers_traveling_garb_(altered)_elden_ring_wiki_guide_200px.png,"Garb of a traveling perfumer of no renown. The thick front apron, the badge of a perfumer, has been replaced with a more simple one made from soft leather.",chest armor,"[{'Phy': '5.3', 'VS Str': '5.3', 'VS Sla': '4.2', 'VS Pie': '2.7', 'Mag': '12.8', 'Fir': '12.8', 'Lit': '12.4', 'Hol': '12.8'}]","[{'Imm.': '55', 'Rob.': '21', 'Foc.': '67', 'Vit.': '63', 'Poi.': '8'}]",4.1,,Boc the Seamster can alter the original Perfumer's Traveling Garb if you have it in your possession.,3,Base Game
430,Preceptor's Long Gown (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/preceptors_long_gown_(altered)_elden_ring_wiki_guide_200px.png,"Modest garb, previously worn under a long, bright blue gown with the movements of the stars drawn upon it.",chest armor,"[{'Phy': '4.2', 'VS Str': '4.2', 'VS Sla': '2.7', 'VS Pie': '4.2', 'Mag': '12.8', 'Fir': '12.4', 'Lit': '11.9', 'Hol': '12.4'}]","[{'Imm.': '38', 'Rob.': '16', 'Foc.': '57', 'Vit.': '57', 'Poi.': '7'}]",3.2,,"After completing Boc's Questline, you (or Boc) can alter Preceptor's Long Gown into Preceptor's Long Gown (Altered).",2,Base Game
431,Prophet Robe (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/prophet_robe_(altered)_elden_ring_wiki_guide_200px.png,Robe of exiled prophets who foretold misfortuneand were persecuted and driven from their homes as a result. Made from rough fabric that scrapes against the skin like a sharpening file.,chest armor,"[{'Phy': '6.1', 'VS Str': '6.1', 'VS Sla': '5.3', 'VS Pie': '6.1', 'Mag': '13.3', 'Fir': '12.4', 'Lit': '12.8', 'Hol': '12.8'}]","[{'Imm.': '38', 'Rob.': '22', 'Foc.': '69', 'Vit.': '75', 'Poi.': '10'}]",5.1,,"After completing Boc's Questline, you (or Boc) can alter Prophet Robe into Prophet Robe (Altered).",2,Base Game
432,Radahn's Lion Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/radahns_lion_armor_(altered)_elden_ring_wiki_guide_200px.png,"Armor depicting the golden lion. Worn by General Radahn. The golden lion is said to symbolize Godfrey, the first Elden Lord, and his beast regent, Serosh. From his youngest years, Radahn was naturally captivated by the Lord of the Battlefield.",chest armor,"[{'Phy': '18.5', 'VS Str': '14.6', 'VS Sla': '17.7', 'VS Pie': '17', 'Mag': '13.3', 'Fir': '14', 'Lit': '12.4', 'Hol': '13.3'}]","[{'Imm.': '52', 'Rob.': '82', 'Foc.': '34', 'Vit.': '32', 'Poi.': '33'}]",16.4,,"After completing Boc's Questline, you (or Boc) can alter Radahn's Lion Armor into Radahn's Lion Armor (Altered).",10,Base Game
433,Ragged Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ragged_armor_elden_ring_wiki_guide_200px.png,Armor pieced together from scavenged metal.,chest armor,"[{'Phy': '9.5', 'VS Str': '10.2', 'VS Sla': '9.5', 'VS Pie': '9.5', 'Mag': '10.9', 'Fir': '11.4', 'Lit': '11.9', 'Hol': '10.9'}]","[{'Imm.': '63', 'Rob.': '42', 'Foc.': '55', 'Vit.': '55', 'Poi.': '17'}]",9.2,,Not currently obtainable.,0,0
434,Ragged Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/ragged_armor_(altered)_elden_ring_wiki_guide_200px.png,Armor pieced together from scavenged metal.,chest armor,"[{'Phy': '9.1', 'VS Str': '9.8', 'VS Sla': '9.1', 'VS Pie': '9.1', 'Mag': '10.5', 'Fir': '11.2', 'Lit': '11.7', 'Hol': '10.5'}]","[{'Imm.': '60', 'Rob.': '38', 'Foc.': '50', 'Vit.': '50', 'Poi.': '16'}]",8.5,,Not currently obtainable.,0,0
435,Raging Wolf Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/raging_wolf_armor_(altered)_elden_ring_wiki_guide_200px.png,"Armor worn by Vargram the Raging Wolf, one of the first Tarnished to visit the Roundtable Hold.According to the old legends, wolves are the shadows of the Empyrean.Vargram aspired to such a state himself.",chest armor,"[{'Phy': '12.8', 'VS Str': '10.8', 'VS Sla': '12.8', 'VS Pie': '12.3', 'Mag': '8.7', 'Fir': '10.8', 'Lit': '6.6', 'Hol': '8.7'}]","[{'Imm.': '25', 'Rob.': '50', 'Foc.': '10', 'Vit.': '10', 'Poi.': '19'}]",9.0,,Altering the Raging Wolf Armor at a Site of Grace or through Boc the Seamster.,9,Base Game
436,Raptor's Black Feathers,http://eldenring.wiki.fextralife.com/file/Elden-Ring/raptors_black_feathers_elden_ring_wiki_guide_200px.png,"Robe crafted with the black feathers of a bird of prey. Worn by the assassins of Ravenmount.A ritual implement for transforming into a Deathbird, if only by imitation.Strengthens jump attacks.""We are birds of prey, bringers of death.""",chest armor,"[{'Phy': '8', 'VS Str': '8.8', 'VS Sla': '9.5', 'VS Pie': '9.5', 'Mag': '10.2', 'Fir': '10.2', 'Lit': '10.9', 'Hol': '9.5'}]","[{'Imm.': '57', 'Rob.': '35', 'Foc.': '60', 'Vit.': '60', 'Poi.': '15'}]",7.7,Increases damage of jumping attacks,"Inside the Sage's Cave, in a chest behind an illusory wall. See it on the Elden Ring Map here.",4,Base Game
437,Redmane Knight Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/redmane_knight_armor_elden_ring_wiki_guide_200px.png,"Armor worn by knights who fought by General Radahn's side.When they were driven to defeat by Malenia's scarlet rot, the Redmane Knights burned the crest on the left breast of their armor to indicate their resolve.""Alas, dear home, I shan't see you again! For our duty is to remain here, a bulwark against the blight.""",chest armor,"[{'Phy': '13.5', 'VS Str': '11.4', 'VS Sla': '13.5', 'VS Pie': '12.4', 'Mag': '10.9', 'Fir': '12.8', 'Lit': '9.5', 'Hol': '10.9'}]","[{'Imm.': '35', 'Rob.': '55', 'Foc.': '14', 'Vit.': '25', 'Poi.': '24'}]",11.8,,Chance to drop from Radahn Knight in Fort Gael. Elden Ring Map here,8,Base Game
438,Redmane Knight Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/redmane_knight_armor_(altered)_elden_ring_wiki_guide_200px.png,"Armor worn by knights who fought by General Radahn's side. When they were driven to defeat by Malenia's scarlet rot, the Redmane Knights burned the crest on the left breast of their armor to indicate their resolve. ""Alas, dear home, I shan't see you again! For our duty is to remain here, a bulwark against the blight.""",chest armor,"[{'Phy': '13.1', 'VS Str': '11', 'VS Sla': '13.1', 'VS Pie': '12', 'Mag': '10.5', 'Fir': '12.4', 'Lit': '9.1', 'Hol': '10.5'}]","[{'Imm.': '32', 'Rob.': '50', 'Foc.': '24', 'Vit.': '22', 'Poi.': '24'}]",10.8,,"After completing Boc's Questline, the player (or Boc) can alter Redmane Knight Armor into Redmane Knight Armor (Altered).",8,Base Game
